accession;assimilation_rate;d_assimilation_rate;stomatal_conductance;d_stomatal_conductance;ias_conductance;d_ias_conductance;atmospheric_CO2;compensation_point;d_compensation_point
A1;11,98;0,69;0,15;0,04;1,1;0,23;409,353;38,18;0,47
A2;12,48;1,02;0,1;0,01;0,99;0,26;409,353;38,18;0,47
A3;16,1;1,16;0,18;0,02;0,89;0,12;409,353;38,18;0,47
A4;12,09;0,78;0,09;0,01;0,81;0,15;409,353;38,18;0,47
A5;16,17;1,4;0,12;0,01;0,88;0,02;409,353;38,18;0,47
A6;10,31;0,61;0,08;0,01;0,93;0,26;409,353;38,18;0,47
A7;11,67;1,67;0,09;0,02;0,87;0,05;409,353;38,18;0,47
A8;11,82;0,94;0,12;0,02;0,75;0,19;409,353;38,18;0,47
A9;12,51;0,84;0,1;0,01;0,85;0,12;409,353;38,18;0,47
A10;9,36;1,34;0,12;0,01;0,79;0,09;409,353;38,18;0,47
A11;7,81;0,81;0,08;0,01;0,87;0,24;409,353;38,18;0,47
